date,avg_trip_total,avg_trip_pooled,avg_trip_miles
2020-01,16.083236691767492,1.1404367743751598,6.899098527684457
2020-02,16.603226049167937,1.1250189131139294,6.923718215230884
2020-03,15.672809087495981,1.0634882147742206,6.786912210990426
2020-04,14.75654011383267,1.000011470218746,6.493964334332483
2020-05,15.537884691564482,1.0000102379997728,6.8577255039021745
2020-06,16.474774099214446,1.0000076261648123,6.951475961564154
2020-07,16.473160559270806,1.0000339785155217,6.828382110157104
2020-08,17.47996537401941,1.0001447883659447,6.8131687610910685
2020-09,17.661546809380763,1.000024049767207,6.8726915769157175
2020-10,16.76959367499532,1.0002088770507014,6.779412845042895
2020-11,16.284137128656415,1.0000050547894077,7.091244920878198
2020-12,16.491564954519482,1.0000015913130846,7.128081834330827
2021-01,17.423748765832112,1.0000039928721796,6.928663616697523
2021-02,20.85623749352011,1.0000097594841775,6.821333750604651
2021-03,21.52067265087285,1.0000094410782328,7.236569934659714
2021-04,23.141891306782323,1.0000043264175216,7.365386385489929
2021-05,25.01393033220174,1.000010952985412,7.455514822919591
2021-06,26.901582628503853,1.0000137017383102,7.624065465658199
2021-07,27.57321116521504,1.000004784162196,7.6062886346752885
2021-08,27.906249828744745,1.000005565680461,7.671518944979518
2021-09,25.440326604982143,1.0000139854992585,7.532258740789021
2021-10,23.83995068927455,1.000005946443123,7.319151369094048
2021-11,22.661957276551224,1.0000036107232608,7.400291365927662
2021-12,22.40847687351354,1.000004894701576,7.325807281673542
2022-01,20.35522566826808,1.0000096896291504,6.713621573282512

