date,avg_cases_total,avg_deaths_total,avg_hospitalizations_total,avg_cases_age_18_29,avg_cases_age_60_69

2020-03,277.2741935483871,3.6451612903225805,40.79032258064516,75.30645161290323,23.129032258064516

2020-04,664.55,20.366666666666667,107.78333333333333,136.73333333333332,67.66666666666667

2020-05,471.2096774193548,21.532258064516128,71.11290322580645,99.80645161290323,47.41935483870968

2020-06,131.68333333333334,8.65,20.366666666666667,33.36666666666667,11.2

2020-07,211.38709677419354,2.8225806451612905,17.741935483870968,61.725806451612904,13.241935483870968

2020-08,405.0483870967742,3.274193548387097,28.612903225806452,111.40322580645162,26.35483870967742

2020-09,366.93333333333334,4.016666666666667,27.15,95.68333333333334,25.583333333333332

2020-10,592.1774193548387,4.112903225806452,34.96774193548387,150.16129032258064,43.88709677419355

2020-11,1277.6833333333334,10.333333333333334,77.45,302.8833333333333,101.25

2020-12,2454.7903225806454,18.06451612903226,109.29032258064517,614.1129032258065,169.29032258064515

2021-01,1913.1935483870968,19.306451612903224,102.48387096774194,399.96774193548384,158.06451612903226

2021-02,337.0357142857143,8.25,32.714285714285715,86.14285714285714,29.0

2021-03,277.2741935483871,3.6451612903225805,40.79032258064516,75.30645161290323,23.129032258064516

2021-04,664.55,20.366666666666667,107.78333333333333,136.73333333333332,67.66666666666667

2021-05,471.2096774193548,21.532258064516128,71.11290322580645,99.80645161290323,47.41935483870968

2021-06,131.68333333333334,8.65,20.366666666666667,33.36666666666667,11.2

2021-07,211.38709677419354,2.8225806451612905,17.741935483870968,61.725806451612904,13.241935483870968

2021-08,405.0483870967742,3.274193548387097,28.612903225806452,111.40322580645162,26.35483870967742

2021-09,366.93333333333334,4.016666666666667,27.15,95.68333333333334,25.583333333333332

2021-10,592.1774193548387,4.112903225806452,34.96774193548387,150.16129032258064,43.88709677419355

2021-11,1277.6833333333334,10.333333333333334,77.45,302.8833333333333,101.25

2021-12,2454.7903225806454,18.06451612903226,109.29032258064517,614.1129032258065,169.29032258064515

2022-01,1913.1935483870968,19.306451612903224,102.48387096774194,399.96774193548384,158.06451612903226

2022-02,337.0357142857143,8.25,32.714285714285715,86.14285714285714,29.0


